"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 12:58:38 GMT 2021","Thu Aug 05 12:58:41 GMT 2021","3315","docs.testcases","test_all_in_one","TestConduit","","","test_export_my_last_post",""
"broken","Thu Aug 05 12:58:29 GMT 2021","Thu Aug 05 12:58:32 GMT 2021","3350","docs.testcases","test_all_in_one","TestConduit","","","test_create_posts_process",""
"broken","Thu Aug 05 12:58:47 GMT 2021","Thu Aug 05 12:58:50 GMT 2021","3323","docs.testcases","test_all_in_one","TestConduit","","","test_global_feed_pagination",""
"broken","Thu Aug 05 12:58:03 GMT 2021","Thu Aug 05 12:58:14 GMT 2021","10567","docs.testcases","test_all_in_one","TestConduit","","","test_login_process",""
"broken","Thu Aug 05 12:58:43 GMT 2021","Thu Aug 05 12:58:46 GMT 2021","3347","docs.testcases","test_all_in_one","TestConduit","","","test_global_feed_list",""
"passed","Thu Aug 05 12:57:58 GMT 2021","Thu Aug 05 12:58:01 GMT 2021","2096","docs.testcases","test_all_in_one","TestConduit","","","test_cookie_process",""
"broken","Thu Aug 05 12:58:15 GMT 2021","Thu Aug 05 12:58:18 GMT 2021","3326","docs.testcases","test_all_in_one","TestConduit","","","test_edit_settings_process",""
"broken","Thu Aug 05 12:58:20 GMT 2021","Thu Aug 05 12:58:23 GMT 2021","3323","docs.testcases","test_all_in_one","TestConduit","","","test_logout_process",""
"failed","Thu Aug 05 12:58:02 GMT 2021","Thu Aug 05 12:58:03 GMT 2021","527","docs.testcases","test_all_in_one","TestConduit","","","test_registration_process",""
"broken","Thu Aug 05 12:58:25 GMT 2021","Thu Aug 05 12:58:28 GMT 2021","3319","docs.testcases","test_all_in_one","TestConduit","","","test_create_post",""
"broken","Thu Aug 05 12:58:34 GMT 2021","Thu Aug 05 12:58:37 GMT 2021","3342","docs.testcases","test_all_in_one","TestConduit","","","test_delete_post_process",""
